M,Only host,Only host + svm,svm + gpu,only gpu
280,69.783203,72.275391,4.080078,2.453125
281,75.105469,76.095703,4.031250,2.185547
282,77.048828,77.972656,4.343750,2.648438
283,77.732422,79.583984,4.146484,2.396484
284,75.367188,90.351563,3.982422,2.486328
285,78.810547,79.583984,3.607422,2.216797
286,77.767578,80.416016,4.201172,2.398438
287,80.000000,82.474609,4.312500,2.552734
288,81.316406,85.599609,4.312500,2.380859
289,82.197266,83.705078,4.121094,2.349609
290,82.519531,86.501953,4.320313,2.404297
291,84.183594,87.244141,4.339844,2.523438
292,83.910156,86.076172,4.529297,2.632813
293,86.972656,95.091797,5.166016,2.556641
294,86.507813,87.615234,3.917969,2.458984
295,87.187500,90.691406,4.039063,2.582031
296,82.759766,90.638672,4.212891,2.884766
297,88.501953,90.597656,4.302734,3.062500
298,92.796875,93.408203,4.214844,3.236328
299,94.275391,93.748047,4.144531,3.300781
300,94.212891,92.712891,4.132813,3.003906
301,95.320313,94.744141,3.896484,2.892578
302,94.888672,93.597656,3.955078,3.009766
303,94.693359,95.794922,3.648438,3.074219
304,95.294922,98.164063,4.001953,3.021484
305,95.925781,98.431641,4.410156,3.148438
306,96.322266,100.351563,4.603516,3.330078
307,98.095703,103.283203,4.857422,3.341797
308,99.814453,99.849609,4.650391,3.248047
309,105.349609,110.349609,3.861328,3.195313
310,102.056641,101.763672,4.324219,3.398438
311,102.775391,110.300781,4.107422,3.578125
312,98.857422,102.681641,5.599609,3.494141
313,109.074219,110.691406,4.113281,2.994141
314,109.011719,112.794922,4.121094,3.193359
315,119.857422,120.271484,5.218750,3.802734
316,119.921875,112.789063,3.751953,2.943359
317,114.666016,119.392578,4.281250,3.851563
318,116.884766,112.363281,4.396484,3.617188
319,118.912109,113.791016,4.775391,3.695313
320,114.892578,116.167969,4.107422,2.945313
321,115.365234,116.527344,3.908203,3.175781
322,113.302734,117.919922,4.230469,3.416016
323,115.615234,114.712891,5.199219,3.890625
324,121.451172,121.255859,4.490234,3.339844
325,119.126953,121.441406,4.130859,3.375000
326,128.384766,127.158203,4.875000,3.505859
327,125.943359,124.136719,4.275391,3.591797
328,116.865234,127.648438,3.841797,3.724609
329,129.441406,130.384766,4.791016,3.937500
330,139.527344,135.710938,4.740234,3.394531
331,130.984375,131.509766,4.634766,3.328125
332,127.052734,128.714844,4.132813,4.011719
333,133.185547,137.406250,5.167969,3.490234
334,136.968750,145.902344,5.943359,4.267578
335,178.347656,176.560547,4.542969,3.935547
336,237.427734,222.150391,5.427734,3.968750
337,165.945313,154.945313,4.814453,3.451172
338,147.056641,142.537109,4.462891,3.515625
339,138.244141,138.019531,4.380859,3.419922
340,134.542969,138.150391,4.392578,3.744141
341,145.306641,142.679688,4.722656,3.433594
342,163.500000,140.599609,4.566406,3.435547
343,144.103516,152.765625,4.941406,3.548828
344,132.312500,148.244141,4.451172,3.701172
345,145.566406,145.751953,5.710938,4.093750
346,157.759766,147.126953,5.205078,3.875000
347,160.214844,148.533203,4.673828,3.828125
348,149.673828,149.603516,4.537109,3.720703
349,145.457031,151.724609,5.847656,4.310547
350,152.593750,147.583984,5.746094,4.003906
351,159.058594,154.533203,4.675781,3.626953
352,150.589844,159.449219,4.236328,3.810547
353,153.269531,160.935547,6.574219,4.300781
354,157.433594,154.167969,5.804688,4.503906
355,164.681641,158.585938,5.173828,3.861328
356,157.966797,162.291016,4.919922,4.076172
357,155.648438,186.056641,5.242188,3.642578
358,161.857422,174.509766,5.197266,4.203125
359,168.679688,164.691406,5.734375,4.466797
360,155.716797,156.705078,5.849609,4.132813
361,169.001953,167.958984,5.603516,4.320313
362,183.494141,167.568359,5.810547,6.318359
363,176.253906,167.720703,5.244141,4.826172
364,179.185547,169.267578,5.736328,5.150391
365,179.734375,174.619141,5.808594,4.958984
366,178.154297,177.384766,5.673828,4.896484
367,177.878906,175.015625,5.361328,6.523438
368,179.316406,172.671875,5.287109,4.689453
369,176.937500,176.822266,6.169922,4.558594
370,177.291016,185.371094,6.007813,4.712891
371,177.378906,177.533203,5.880859,4.876953
372,185.164063,178.093750,5.226563,4.880859
373,184.320313,186.578125,5.183594,4.603516
374,190.675781,261.955078,5.007813,4.552734
375,309.519531,233.667969,6.591797,4.925781
376,191.740234,176.714844,5.957031,4.654297
377,190.134766,190.851563,5.140625,4.371094
378,195.208984,203.806641,5.978516,4.697266
379,196.662109,197.796875,4.964844,4.605469
380,193.273438,227.453125,5.654297,4.900391
381,195.802734,222.718750,5.056641,5.242188
382,203.154297,199.878906,5.439453,4.800781
383,203.552734,208.146484,4.744141,4.869141
384,329.722656,380.917969,5.462891,4.486328
385,317.064453,202.636719,5.597656,4.802734
386,209.835938,217.240234,6.208984,5.388672
387,203.349609,214.388672,5.531250,4.681641
388,208.013672,201.257813,5.906250,4.890625
389,214.003906,210.005859,6.320313,5.244141
390,215.710938,243.662109,5.718750,5.376953
391,215.208984,214.554688,5.529297,5.039063
392,198.435547,211.597656,5.300781,5.470703
393,213.306641,217.691406,6.207031,5.621094
394,227.609375,223.421875,5.839844,5.173828
395,232.218750,222.080078,6.089844,5.349609
396,227.488281,216.630859,6.769531,5.527344
397,228.990234,218.392578,5.867188,5.457031
398,255.863281,221.072266,6.521484,5.699219
399,231.710938,224.548828,6.849609,5.330078
400,228.246094,222.609375,5.931641,5.314453
401,232.009766,231.537109,5.589844,5.515625
402,235.619141,225.890625,6.888672,6.597656
403,231.777344,246.355469,6.117188,5.359375
404,234.541016,231.449219,5.894531,5.433594
405,239.878906,239.187500,6.271484,5.330078
406,234.476563,243.230469,6.501953,5.832031
407,244.457031,259.923828,5.886719,5.412109
408,259.625000,330.050781,5.458984,5.904297
409,315.992188,289.722656,5.968750,5.332031
410,251.433594,268.017578,6.083984,6.582031
411,256.714844,254.369141,6.402344,5.542969
412,246.349609,249.085938,6.103516,5.564453
413,250.546875,257.439453,6.666016,5.501953
414,268.484375,309.718750,6.123047,5.802734
415,300.486328,256.361328,6.162109,5.458984
416,260.890625,254.771484,5.871094,5.369141
417,275.210938,262.169922,6.496094,5.148438
418,258.826172,316.904297,6.886719,5.962891
419,353.228516,276.601563,7.050781,6.087891
420,259.580078,256.486328,6.232422,5.642578
421,265.607422,267.578125,7.439453,5.960938
422,268.001953,265.000000,7.810547,7.083984
423,288.138672,289.421875,6.794922,5.853516
424,254.363281,267.695313,6.294922,5.664063
425,268.898438,278.246094,7.712891,6.212891
426,278.880859,276.914063,7.707031,5.873047
427,283.162109,284.769531,6.361328,5.916016
428,274.060547,274.339844,6.916016,6.039063
429,292.697266,287.380859,7.156250,5.933594
430,282.583984,285.521484,6.882813,5.880859
431,284.236328,305.947266,7.234375,6.064453
432,280.423828,282.355469,7.585938,6.236328
433,289.568359,292.546875,6.798828,5.896484
434,290.449219,294.884766,7.027344,6.246094
435,300.216797,308.968750,6.822266,5.933594
436,293.080078,305.097656,7.166016,8.072266
437,372.501953,338.707031,7.679688,7.640625
438,302.777344,299.357422,6.533203,6.154297
439,332.326172,317.634766,7.808594,6.326172
440,285.871094,289.687500,6.806641,5.816406
441,311.650391,314.570313,7.738281,6.162109
442,325.070313,371.716797,7.748047,7.000000
443,318.669922,343.763672,7.148438,6.476563
444,308.779297,321.160156,7.093750,6.306641
445,325.429688,319.814453,6.718750,6.214844
446,330.437500,337.714844,7.095703,6.185547
447,382.298828,424.589844,7.605469,6.281250
448,376.005859,338.287109,8.203125,6.601563
449,314.488281,321.865234,8.369141,7.070313
450,336.582031,364.246094,7.515625,7.449219
451,496.439453,404.839844,6.904297,6.099609
452,404.761719,348.697266,7.390625,6.332031
453,355.283203,350.648438,7.507813,6.378906
454,356.738281,544.433594,6.449219,6.107422
455,414.095703,411.511719,6.691406,6.257813
456,330.537109,345.142578,7.527344,6.488281
457,392.425781,369.785156,9.933594,8.941406
458,494.767578,387.603516,8.173828,7.230469
459,354.728516,357.376953,7.269531,6.660156
460,337.974609,353.792969,8.224609,6.867188
461,381.648438,361.742188,7.572266,6.787109
462,362.138672,359.839844,8.308594,6.904297
463,354.302734,382.132813,7.558594,6.521484
464,359.095703,361.726563,7.146484,6.394531
465,365.937500,373.623047,8.494141,7.035156
466,368.546875,367.263672,7.296875,7.119141
467,377.035156,385.535156,7.445313,6.865234
468,376.558594,383.039063,10.056641,7.339844
469,379.220703,382.423828,7.712891,7.775391
470,380.550781,395.890625,8.064453,7.337891
471,381.056641,390.625000,7.769531,7.343750
472,370.626953,375.037109,7.671875,6.945313
473,590.425781,531.023438,7.408203,7.376953
474,394.339844,398.257813,7.964844,6.687500
475,401.605469,441.373047,7.509766,7.474609
476,410.730469,424.755859,7.523438,6.996094
477,420.785156,439.677734,7.945313,7.039063
478,464.373047,411.792969,7.572266,7.449219
479,440.898438,424.605469,7.509766,7.203125
480,432.089844,410.224609,9.394531,8.154297
481,454.042969,415.519531,8.060547,7.419922
482,409.294922,510.583984,8.507813,7.531250
483,408.931641,408.101563,7.916016,7.259766
484,411.832031,411.781250,8.802734,8.808594
485,443.796875,404.687500,9.119141,7.437500
486,416.837891,441.699219,9.191406,7.472656
487,412.255859,423.720703,8.957031,7.384766
488,402.558594,407.210938,8.267578,7.429688
489,429.902344,442.470703,8.669922,10.224609
490,430.736328,422.531250,8.869141,7.662109
491,435.378906,429.169922,8.216797,7.285156
492,425.312500,436.121094,9.376953,8.412109
493,426.693359,425.738281,8.287109,7.597656
494,438.152344,452.599609,9.212891,7.705078
495,451.367188,456.244141,9.091797,7.300781
496,448.496094,437.027344,8.576172,7.281250
497,461.375000,505.417969,8.255859,7.769531
498,467.906250,482.339844,8.052734,7.638672
499,471.447266,488.750000,10.212891,7.982422
500,455.621094,452.197266,8.789063,7.509766
501,456.785156,455.984375,9.765625,8.003906
502,472.757813,469.759766,8.947266,7.880859
503,470.951172,480.312500,9.396484,8.056641
504,449.572266,449.759766,9.095703,8.093750
505,495.214844,484.468750,8.863281,8.001953
506,503.158203,515.779297,9.701172,9.494141
507,489.515625,487.246094,8.455078,7.662109
508,502.359375,514.736328,8.423828,9.078125
509,483.898438,484.671875,9.441406,8.162109
510,489.228516,485.697266,9.099609,8.259766
511,533.277344,483.656250,8.683594,8.216797
512,710.902344,755.365234,9.556641,8.824219
513,518.705078,501.689453,10.611328,9.033203
514,497.601563,574.447266,9.480469,8.105469
515,540.958984,531.328125,9.867188,9.261719
