M,Only host,Only host + svm,svm + gpu,only gpu
493,0.000000,0.000000,12.984375,14.080078
494,0.000000,0.000000,14.414063,13.851563
495,0.000000,0.000000,15.943359,13.269531
496,0.000000,0.000000,14.031250,13.412109
497,0.000000,0.000000,13.390625,14.296875
498,0.000000,0.000000,15.769531,14.328125
499,0.000000,0.000000,13.101563,14.599609
500,0.000000,0.000000,16.908203,15.298828
501,0.000000,0.000000,13.998047,13.265625
502,0.000000,0.000000,14.111328,13.662109
503,0.000000,0.000000,16.070313,14.095703
504,0.000000,0.000000,17.414063,14.916016
505,0.000000,0.000000,15.117188,13.900391
506,0.000000,0.000000,14.138672,13.996094
507,0.000000,0.000000,15.238281,14.898438
508,0.000000,0.000000,14.500000,15.140625
509,0.000000,0.000000,14.771484,14.271484
510,0.000000,0.000000,14.695313,14.330078
511,0.000000,0.000000,14.689453,15.144531
512,0.000000,0.000000,17.097656,16.363281
513,0.000000,0.000000,15.115234,14.929688
514,0.000000,0.000000,16.357422,15.642578
515,0.000000,0.000000,15.013672,14.855469
516,0.000000,0.000000,15.498047,15.496094
517,0.000000,0.000000,15.248047,16.095703
518,0.000000,0.000000,16.580078,15.818359
519,0.000000,0.000000,15.906250,15.822266
520,0.000000,0.000000,16.753906,16.386719
521,0.000000,0.000000,16.001953,17.019531
522,0.000000,0.000000,16.578125,17.015625
523,0.000000,0.000000,16.316406,16.035156
524,0.000000,0.000000,16.335938,16.427734
525,0.000000,0.000000,16.896484,16.507813
526,0.000000,0.000000,16.806641,15.894531
527,0.000000,0.000000,17.017578,16.179688
528,0.000000,0.000000,17.787109,17.687500
529,0.000000,0.000000,16.796875,17.232422
530,0.000000,0.000000,17.894531,16.609375
531,0.000000,0.000000,17.050781,16.886719
532,0.000000,0.000000,18.888672,17.992188
533,0.000000,0.000000,17.781250,16.000000
534,0.000000,0.000000,17.136719,17.574219
535,0.000000,0.000000,17.000000,16.085938
536,0.000000,0.000000,19.343750,19.880859
537,0.000000,0.000000,18.970703,16.990234
538,0.000000,0.000000,18.470703,17.705078
539,0.000000,0.000000,17.843750,18.646484
540,0.000000,0.000000,19.324219,18.757813
541,0.000000,0.000000,17.443359,17.445313
542,0.000000,0.000000,18.185547,17.287109
543,0.000000,0.000000,18.269531,17.480469
544,0.000000,0.000000,19.353516,19.251953
545,0.000000,0.000000,17.681641,17.564453
546,0.000000,0.000000,19.177734,23.060547
547,0.000000,0.000000,19.232422,17.933594
548,0.000000,0.000000,18.263672,19.285156
549,0.000000,0.000000,18.626953,17.824219
550,0.000000,0.000000,18.423828,17.826172
551,0.000000,0.000000,18.925781,20.888672
552,0.000000,0.000000,20.781250,19.394531
553,0.000000,0.000000,19.128906,19.519531
554,0.000000,0.000000,20.044922,19.427734
555,0.000000,0.000000,19.714844,19.441406
556,0.000000,0.000000,20.224609,18.212891
557,0.000000,0.000000,18.712891,17.794922
558,0.000000,0.000000,19.482422,20.208984
559,0.000000,0.000000,19.423828,18.253906
560,0.000000,0.000000,22.312500,21.425781
561,0.000000,0.000000,19.650391,19.201172
562,0.000000,0.000000,20.351563,19.392578
563,0.000000,0.000000,18.652344,18.416016
564,0.000000,0.000000,20.187500,19.623047
565,0.000000,0.000000,20.408203,19.083984
566,0.000000,0.000000,20.076172,19.341797
567,0.000000,0.000000,19.419922,21.507813
568,0.000000,0.000000,23.117188,23.171875
569,0.000000,0.000000,19.917969,21.091797
570,0.000000,0.000000,20.679688,19.437500
571,0.000000,0.000000,19.605469,21.105469
572,0.000000,0.000000,22.699219,21.138672
573,0.000000,0.000000,20.404297,21.185547
574,0.000000,0.000000,21.496094,22.257813
575,0.000000,0.000000,20.599609,21.048828
576,0.000000,0.000000,22.753906,20.900391
577,0.000000,0.000000,20.380859,20.201172
578,0.000000,0.000000,22.474609,21.833984
579,0.000000,0.000000,20.542969,21.017578
580,0.000000,0.000000,22.945313,21.333984
581,0.000000,0.000000,20.867188,22.296875
582,0.000000,0.000000,23.796875,22.181641
583,0.000000,0.000000,20.748047,20.699219
584,0.000000,0.000000,22.494141,22.085938
585,0.000000,0.000000,22.539063,22.185547
586,0.000000,0.000000,22.710938,21.937500
587,0.000000,0.000000,22.705078,22.802734
588,0.000000,0.000000,25.210938,22.847656
589,0.000000,0.000000,23.294922,21.972656
590,0.000000,0.000000,24.296875,21.601563
591,0.000000,0.000000,22.667969,22.074219
592,0.000000,0.000000,23.697266,23.832031
593,0.000000,0.000000,23.429688,22.265625
594,0.000000,0.000000,22.859375,22.847656
595,0.000000,0.000000,23.251953,22.240234
596,0.000000,0.000000,23.613281,23.009766
597,0.000000,0.000000,23.458984,23.849609
598,0.000000,0.000000,24.539063,24.083984
599,0.000000,0.000000,24.050781,23.251953
600,0.000000,0.000000,24.660156,24.066406
601,0.000000,0.000000,23.976563,23.798828
602,0.000000,0.000000,24.251953,24.066406
603,0.000000,0.000000,23.662109,24.208984
604,0.000000,0.000000,24.277344,23.876953
605,0.000000,0.000000,24.347656,23.960938
